Date,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,WSPM
2015.1.01,38.17,61,21.54,49.13,941.67,24.17,-2.04,1024.25,-22.34,2.27
2015.1.02,59.17,83.88,34.42,69.46,1337.5,13.5,-1.38,1022.67,-17.98,1.71
2015.1.03,161,196.33,76.58,117.42,3558.33,2.25,-2.83,1011.08,-15.46,1.01
2015.1.04,189.79,221.58,82.92,128.42,4216.67,3.83,0.38,1010.38,-13.08,1.14
2015.1.05,100.79,162.38,61.58,68.25,2891.67,26.54,3.58,1013.67,-14.07,2.75
2015.1.06,28.79,55.13,24.21,38.21,837.5,24.92,-0.13,1021.04,-21.81,2.28
2015.1.07,52.75,75.79,36.54,65.58,1612.5,7.46,-2.71,1023.92,-17.02,0.98
2015.1.08,129.67,172.81,53.6,103.44,3320.83,2,-1.88,1023.5,-13.42,1.31
2015.1.09,75.96,97.67,44.08,68.5,1879.17,22.42,1.88,1021.92,-15.37,1.75
2015.1.10,132.46,165.79,57.5,103.17,2891.67,10,1.21,1016.21,-13.1,1.05
2015.1.11,29.08,46,14.42,41.21,812.5,30.83,2.38,1025.92,-13.54,1.7
2015.1.12,117.63,139.17,44,83.08,2504.17,8.21,-1.68,1031.55,-10.82,1.41
2015.1.13,151.08,197.17,66.04,97.96,3112.5,5.04,-2.96,1028.08,-8.87,1.2
2015.1.14,202.33,227.46,67.21,113.88,3504.17,2.13,-2.56,1026.36,-7.81,1.09
2015.1.15,300.71,328.13,42.17,127.58,4825,2.25,-3.25,1022.91,-7.7,0.99
2015.1.16,100.08,113.75,13.17,36.08,2033.33,39.71,0.13,1023,-14.86,3.2
2015.1.17,60,68.46,30,57.58,1404.17,24.75,-2.54,1025.79,-15.63,1.5
2015.1.18,63.75,104.98,39.9,52.56,1595.83,31.25,1.83,1014.04,-14.12,2.37
2015.1.19,37.08,68.17,27.96,62,1354.17,21.29,1.42,1018.54,-14.58,1.51
2015.1.20,79.13,108.5,51.38,80.21,2129.17,7.83,-0.25,1016.88,-9.36,1.27
2015.1.21,17.13,24.58,20.42,32.5,870.83,37.67,1.58,1021.46,-14.12,2.58
2015.1.22,99.42,128.96,44.13,85.04,2179.17,10.67,-1.75,1018.46,-13.05,1.18
2015.1.23,186.08,218.21,68.21,122.04,3650,3.83,-0.83,1013.25,-11.5,1
2015.1.24,82.29,98.17,34.71,72.79,1950,10.33,-0.08,1019.67,-8.36,1.23
2015.1.25,107,110.58,18,53.38,1575,10.38,0.81,1019.7,-3.61,1.6
2015.1.26,83.5,87.42,10.58,34.46,1737.5,32.42,-0.42,1022.92,-13.08,2.45
2015.1.27,14.77,18.5,15.6,27.13,875,39.15,-3.78,1030.59,-21.65,2.29
2015.1.28,26.23,32.21,17.46,49.29,1150,25.17,-2.21,1028.04,-19.62,1.61
2015.1.29,56.79,65,21.67,38.67,1266.67,32.42,0.08,1023.08,-14.5,2.2
2015.1.30,11.1,27.1,17.15,21.75,630,52.5,-2.35,1029.75,-21.29,1.85
2015.1.31,28.92,45.71,20.42,42.88,820.83,29.96,-2.35,1032.51,-21.71,1.54
2015.2.01,69.08,90.58,49.92,73.5,1841.67,6.17,-3.67,1028.67,-17.17,0.95
2015.2.02,138.38,158,74.52,101.38,3080.95,11.52,-1.32,1026.32,-14.58,1.36
2015.2.03,105.29,114.13,39.38,75.33,2179.17,41.63,1.17,1025.25,-10.63,2.01
2015.2.04,9.54,47.42,14.29,17.54,412.5,78.48,1.53,1026.4,-16.51,3.3
2015.2.05,22.46,34.75,18.92,44.21,712.5,56.33,1.79,1026.08,-14.47,1.53
2015.2.06,63.17,83.54,32.21,93,1829.17,27.26,0.92,1016.08,-12.28,1.18
2015.2.07,11.96,35.38,15.67,22,512.5,83.46,1.71,1023.58,-19.6,2.97
2015.2.08,20.88,33.5,18.38,26.71,550,72.04,-2.88,1029.88,-24.69,1.91
2015.2.09,99.29,123.29,49.42,88,1887.5,78.54,-1.97,1021.06,-20.01,1.49
2015.2.10,118.83,156.77,52.42,107.29,2520.83,35.43,1.73,1010.65,-15.52,1.19
2015.2.11,42.6,71.06,25.58,45.33,1195.83,64.96,4.52,1010.92,-15.13,1.75
2015.2.12,28.67,41.81,11.96,40.29,691.67,70.6,1.96,1013.79,-13.22,1.72
2015.2.13,115.75,139.42,36.25,92.13,2220.83,52.23,1.54,1011.4,-10.03,1.36
2015.2.14,225.92,245.17,63.67,128.88,3395.83,27.79,3.42,1006.63,-9.37,1.26
2015.2.15,266.29,294.83,85.83,136.42,4745.83,8.71,2.58,1012.29,-7.5,1.13
2015.2.16,107.33,146.5,38.25,56.04,2287.5,32.6,4.42,1011.88,-10.47,1.96
2015.2.17,19.17,37.54,10.38,32.08,545.83,45.67,4.48,1017.2,-10.92,1.54
2015.2.18,41.38,54.75,20.67,38.25,820.83,55.63,4.13,1023.96,-12.66,1.7
2015.2.19,171.58,215.63,53.71,42.29,1312.5,48.04,1.83,1022.33,-6.86,1.89
2015.2.20,118.21,118.21,13.38,44.04,1483.33,25.96,1.11,1015.14,-0.16,1.08
2015.2.21,137.88,254.33,12.46,33.13,1545.83,35.04,1.17,1012.2,-7.03,2.6
2015.2.22,38,318,5.04,14.67,358.33,65.17,-1.04,1017.3,-20.96,2.86
2015.2.23,53.29,124.13,26.79,35.79,766.67,51.17,-0.42,1015.08,-13.78,1.6
2015.2.24,150.67,235.63,42.67,68.08,2195.83,30.81,1.02,1010.86,-6.83,1.37
2015.2.25,64.92,97.38,12.88,33.71,962.5,53.38,2.77,1013.87,-15.38,2.63
2015.2.26,12.58,23.33,6.58,19.42,400,63.13,1.77,1020.5,-20.68,2.41
2015.2.27,21,38.63,12.92,33.92,670.83,43.96,-0.11,1028.1,-14.24,1.71
2015.2.28,118.83,122.58,11.67,44.67,1216.67,23.25,0.09,1021.25,-4.07,2.16
2015.3.01,29.75,81.75,10.88,39.71,700,53.08,4.81,1016.2,-13.4,2.5
2015.3.02,53.04,105.58,20.88,51.63,1379.17,45,6.24,1007.77,-12.65,2.61
2015.3.03,9.54,69.21,2.25,8.42,275,74.08,1.82,1019.43,-24.93,4.34
2015.3.04,23.83,45.5,13.08,36.92,620.83,56.71,1.53,1024.18,-25.08,2.19
2015.3.05,116.54,148.58,60.08,71.46,1754.17,42.42,2.43,1021.62,-17.25,2.3
2015.3.06,201.17,224.83,67.63,92.79,2266.67,35.83,2.41,1014.94,-10.03,1.23
2015.3.07,236.21,253.88,52.67,95.08,2429.17,44.08,4.66,1014.47,-4.7,1.23
2015.3.08,125.21,141.29,31.33,57.69,1416.67,49.06,6.01,1017.98,-10.61,2.46
2015.3.09,9.75,32.21,3.13,13.02,279.17,79.85,0.6,1031.38,-28,3.63
2015.3.10,29.25,45.21,11.46,45.19,666.67,57.25,2.1,1026.19,-22.16,2.27
2015.3.11,46.25,67.67,19.54,58.98,1033.33,49.38,4.13,1018.91,-18.72,1.87
2015.3.12,78.17,109.72,27.5,81.97,1616.67,26.53,3.9,1013.27,-13.22,1.66
2015.3.13,69.46,81.92,25.75,67.5,1329.17,44.25,5.01,1017.54,-13.51,1.61
2015.3.14,102.54,131.58,43.67,91.71,2020.83,16.06,4.25,1016.76,-6.14,1.55
2015.3.15,97.67,207.83,22.83,74.96,1629.17,49.63,9.36,1012.6,-9.86,2.04
2015.3.16,205.33,299.63,35.46,96.71,2083.33,13.98,9.7,1007.83,0.96,1.58
2015.3.17,199.46,242.63,17.83,67,1829.17,54.63,10.61,1014.92,-0.94,2.05
2015.3.18,42.88,85.83,12.5,46.21,691.67,67.25,9.03,1012.13,-8.77,1.61
2015.3.19,88.96,214.88,14.13,83.79,1216.67,39.79,11.28,1012.39,-7.99,1.68
2015.3.20,43.75,199.25,5.92,53.58,537.5,60.48,14.1,1013.22,-13.28,1.85
2015.3.21,20.5,102.25,4.58,32.08,408.33,69.21,14.57,1014.05,-18.45,3.1
2015.3.22,22.5,120.96,4.33,22.25,375,75.65,10.17,1023.28,-16.95,3.3
2015.3.23,37.33,97.54,8.73,50.67,762.5,51.88,10.2,1024.61,-13.22,2.1
2015.3.24,80.17,135.08,30.58,77.54,2004.17,50.48,9.3,1027.11,-8.24,1.89
2015.3.25,121.54,173.96,42.75,86,1950,56.58,10.88,1026.21,-1.74,1.95
2015.3.26,103.23,173.04,21.75,64.75,1104.17,81.75,14.18,1024.13,-1.62,2.8
2015.3.27,101.58,157.04,26.29,58.46,1050,90.5,14.89,1016.18,0.69,2.59
2015.3.28,63.33,283.46,9.33,36.5,570.83,76.79,17.66,1008.81,-0.3,3.39
2015.3.29,79.42,305.08,17.67,85.38,1179.17,49.33,15.48,1010.16,0.98,1.81
2015.3.30,154.75,353.71,27.92,88.17,1658.33,63.96,16.7,1004.65,6.37,1.52
2015.3.31,135.49,163.83,17.42,65.15,2192.5,43.67,12.4,1010.01,7.75,1.86
2015.4.01,53.92,69.48,3.58,59.17,720.83,45.69,9.58,1016.03,-0.67,1.24
2015.4.02,34.38,35.43,2.08,29.04,745.83,72.29,9.1,999.08,2.81,2.64
2015.4.03,32.04,40.96,6.08,34.46,620.83,96.29,12.11,1007.53,1.24,2.25
2015.4.04,63.71,75,8.08,39.46,670.83,114.58,12.52,1008.19,1.62,2.27
2015.4.05,55.83,98.5,3.46,38.92,495.83,70.04,12.71,1013.86,-5,3.84
2015.4.06,22.04,33.38,2.21,16.88,245.83,80.17,7.47,1025.9,-12.25,2.69
2015.4.07,25.9,48.52,5.29,31.29,361.9,68.76,8.32,1026.3,-11.82,2.68
2015.4.08,99,138.08,14.71,59.79,895.83,48.33,9.3,1020.03,-2.14,2.45
2015.4.09,163.25,188.5,19.71,68.54,1212.5,58.42,11.2,1015.9,2.04,2.09
2015.4.10,162.77,177.99,11.93,78.87,1158.33,55.61,14.08,1014.98,3.7,1.82
2015.4.11,144.5,158.5,17.33,56.63,1908.33,70.48,14.02,1015.67,6.95,2.9
2015.4.12,12.42,37.45,2.17,15.17,266.67,76.21,7.79,1021.34,-2.97,4.47
2015.4.13,26.25,37.18,3.21,23.94,418.75,98.04,11.48,1020.47,-1.52,2.96
2015.4.14,57.79,99.25,5.83,75.5,750,56,16.38,1003.88,0.58,2.03
2015.4.15,119,190.2,16.47,125.4,1266.67,13.63,14.99,995.77,4.81,0.95
2015.4.16,31.62,106,6.23,28.92,346.15,94.08,18.76,1004.98,-8.8,5.46
2015.4.17,85.42,201.63,21.21,65.92,633.33,60.79,17.98,1004.44,-1.51,2.58
2015.4.18,145.42,296.08,26.96,110.21,1433.33,49.04,17.9,1006.48,7.99,1.23
2015.4.19,66.54,119.79,5.04,48.96,612.5,59.54,17,1010.09,0.19,2.55
2015.4.20,79.08,128.54,3,67.15,923.08,26.15,11.88,1012.25,3.11,1.05
2015.4.21,53.93,146.47,4.87,41.8,446.67,88.93,22.25,1006.11,-2.72,2.45
2015.4.22,51.5,134.13,8.33,61,650,69.21,18.65,1012.48,1.43,3.04
2015.4.23,54.19,123.71,12.76,64.14,657.14,46.81,18.99,1010.62,-0.69,1.68
2015.4.24,65.76,222.81,8.71,69.19,719.05,67.81,18.08,1016.64,1.93,2.25
2015.4.25,73.88,195.33,12.67,86.21,912.5,99.79,22.37,1010,4.45,2.51
2015.4.26,98.38,211,20.96,69.75,1120.83,128.08,24.43,1005.24,11.12,2.63
2015.4.27,82.42,149.48,10.33,54.92,937.5,108.23,22.12,1000.96,13.09,1.95
2015.4.28,44.17,72,4.33,46.5,695.83,95.46,20.4,1006.4,11.22,1.59
2015.4.29,119.79,157.58,11.17,62.42,1537.5,106.1,21.13,1008.67,13.13,1.88
2015.4.30,111.71,159.13,10.92,56.42,1050,126.75,23.62,1006.36,13.34,2.08
2015.5.01,132.46,152.13,12.08,63.79,1304.17,56.83,18.48,1005.32,12.99,2.32
2015.5.02,44.04,77.63,2.21,38.75,591.67,83.58,19.05,1005.85,12.02,1.85
2015.5.03,42.92,109,2.75,27.71,500,86.77,19.48,1009.46,-2.82,3.51
2015.5.04,21.96,86.96,5.17,26.29,333.33,98.88,18.51,1010.62,-6.29,3.62
2015.5.05,50.83,106.04,8.79,50.5,595.83,81,20.48,1000.97,0.1,2.17
2015.5.06,19.17,79.54,3.58,34.58,350,82.83,18.05,1007.21,-7.92,2.15
2015.5.07,41.13,142.29,7.79,43.83,616.67,89.71,18.54,1006.61,1.34,2.3
2015.5.08,46.21,106.13,10.46,48.46,925,78.25,17.95,1005.55,5.71,2.34
2015.5.09,43.38,53.17,9.5,42.25,975,50.6,13,1013.42,4.25,1.73
2015.5.10,38.38,50.38,6.92,61.92,1270.83,28.92,10.25,1011.39,6.2,1.58
2015.5.11,25.92,31.42,2.04,40.21,829.17,49.92,13.73,1003.04,4.88,2.34
2015.5.12,23.71,81.88,2.75,51.35,729.17,76.13,18.55,991,4.75,1.9
2015.5.13,67.08,156.42,6.15,81.96,827.08,85.04,21.49,990.35,8.53,1.38
2015.5.14,20.17,80.75,5.29,36.92,320.83,86.79,22.09,1002.68,1.61,2.92
2015.5.15,23.63,54.5,3.21,33.46,387.5,91.67,21.28,1010.01,3.53,2.63
2015.5.16,48.13,107.33,9.63,57.29,725,103.63,21.77,1005.21,6.01,2.58
2015.5.17,130.96,192.92,14.08,48.92,1158.33,121.67,22.78,994.76,15.55,1.75
2015.5.18,61.25,101.04,2.38,42.13,537.5,75.13,23.33,997.35,2.73,3.47
2015.5.19,14.27,60.71,2.46,17.04,158.33,85.92,22.5,1003.58,-4.94,3.95
2015.5.20,29.92,47.17,3.42,24.5,225,95.42,24.02,1010.66,1.47,3.4
2015.5.21,41.79,97.42,7.67,55.25,491.67,90.98,22.97,1007.45,5.73,3.42
2015.5.22,62.04,106.33,14.38,63.33,837.5,116.96,22.95,1005.08,8.33,1.93
2015.5.23,103.04,163.71,19.79,77.54,1066.67,142.79,23.95,1003.76,11.6,1.7
2015.5.24,122.58,186.42,15.5,76.42,1304.17,139.21,25.62,1002.1,12.5,2.35
2015.5.25,100.08,187.83,21.04,56.5,1145.83,164.33,27.5,1001.18,12.68,2.88
2015.5.26,83.29,166.96,16.46,42.17,862.5,172.08,28.21,1001.3,13.4,3.07
2015.5.27,99.29,154.67,9.13,37.75,862.5,177.92,26.8,1000.54,14.13,2.34
2015.5.28,112.71,146.29,19.42,41.83,1104.17,164.63,26.13,999.53,14.94,2.36
2015.5.29,66.04,111.63,4.67,56.83,925,96.52,25.03,1001.19,14.95,1.83
2015.5.30,61.67,107.79,6.58,49.04,808.33,115.13,24.31,1002.93,13.34,2.23
2015.5.31,56.88,114.38,13.83,53.88,879.17,129.13,26.35,996.82,13.72,2.63
2015.6.01,101.58,190.71,7.29,65.33,1095.83,143,28.11,996.17,17.95,1.84
2015.6.02,32.85,54.13,4.33,29.88,591.67,88.08,26.88,1003.84,4.14,2.97
2015.6.03,37.71,110.04,7.46,41.83,487.5,99.04,25.4,1008.42,6.36,2.45
2015.6.04,50.52,91.96,5.21,58.08,2964.58,72.63,21.42,1000.31,12.76,1.6
2015.6.05,45.75,74.92,3.79,52.35,3183.33,102.54,22.96,994.3,13.99,1.67
2015.6.06,25.17,46.88,2.58,32.92,2725,103.9,23.33,997.97,13.16,2.08
2015.6.07,11.96,32.04,2.63,37.63,2400,64.25,21.45,1004.12,9.52,1.65
2015.6.08,16.17,46.92,4.5,41.79,408.33,75.42,23.41,1000.55,8.98,1.99
2015.6.09,59.67,96.5,16.29,61.54,1154.17,105.04,23.85,997.42,13.61,2.34
2015.6.10,53.71,74.79,8.04,45.67,1116.67,83.1,20.96,995.7,17.2,1.67
2015.6.11,8.56,29.06,7.06,27.25,466.67,74.07,22.51,993.53,11.93,2.89
2015.6.12,4.91,16.18,8.27,20.82,272.73,100.27,26.41,993.65,10.16,3.71
2015.6.13,10.33,29.46,8.29,26.67,429.17,90.38,23.45,1000.15,14.38,2.38
2015.6.14,19.75,39.08,8.38,41.33,433.33,96.1,25.23,1003.92,14.54,1.49
2015.6.15,100.8,133,20,57.4,1560,135.2,25.88,1002.94,15.21,1.66
2015.6.16,111.92,152.29,13.79,67.21,1166.67,145.52,26.83,999.36,15.53,1.99
2015.6.17,43.67,60.46,2,52.46,716.67,122.29,25.66,998.47,17.21,1.55
2015.6.18,21.54,30.46,2.04,37.88,341.67,78.31,26.71,1001.8,8.98,1.92
2015.6.19,18.08,41.67,2.38,40.5,445.83,55.63,20.78,1005.63,13.57,1.73
2015.6.20,21.88,36.67,2,41.38,433.33,104.02,24.68,1007.32,13.63,1.55
2015.6.21,46.29,83.29,4.17,49.21,454.17,138.21,27.18,1003.83,13.56,1.85
2015.6.22,93.75,127.67,18.21,46.67,983.33,153.1,26.4,1001.54,15.3,1.79
2015.6.23,197.79,215.29,17.38,48,1625,162.21,26.83,1002.66,17.9,1.94
2015.6.24,117.69,131.31,11.27,54.94,927.08,82.6,25.28,1001.2,17.78,2.07
2015.6.25,122.38,139.54,7.38,74.79,891.67,64.33,24.48,997.41,18.13,1.43
2015.6.26,103.21,103.21,2,27.83,712.5,157.81,24.14,996.35,19.72,1.71
2015.6.27,90.75,93.21,4,38.54,616.67,111.46,24.9,1000.7,20.15,1.26
2015.6.28,153.54,153.54,10,39.25,958.33,130.06,27.15,1001.86,21.17,1.84
2015.6.29,105.71,106.82,5.59,49.47,976.47,55.41,21.75,1001.51,19.27,1.26
2015.6.30,13.08,21.79,2,36.29,562.5,65.75,22.14,998.74,14.56,2.63
2015.7.01,19.04,43.38,2.83,45.13,570.83,53.75,24.73,993.65,13.34,1.71
2015.7.02,8.21,18.13,4.42,36,308.33,62.88,26.74,997.94,9.33,2.02
2015.7.03,27.46,72.42,12.63,44.08,1020.83,104.29,25.15,1003.87,10.8,2
2015.7.04,32.08,63.92,7.63,59.13,708.33,66.77,22.29,1005.55,13.15,1.4
2015.7.05,65.79,78.25,13.92,46.58,1037.5,136.67,23.6,1005.73,15.02,1.63
2015.7.06,71.42,85.21,11.75,47,1108.33,146.9,25.39,1006.2,15.8,1.55
2015.7.07,70.42,91.58,8.13,46.19,833.33,143.17,26.67,1004.79,16.24,1.7
2015.7.08,127.96,144.92,8.79,50.88,1129.17,143.67,27.41,1005.98,18.14,1.9
2015.7.09,73.86,91.38,9.33,58.81,766.67,128.71,27.46,1008.03,15.6,1.8
2015.7.10,54.83,91.04,10.38,43,654.17,147.96,27.86,1006.4,17.42,2.28
2015.7.11,114.08,133.83,13.71,53.63,1125,163.58,28.77,1002.96,19.15,1.58
2015.7.12,115.79,169.83,8.46,72.88,1041.67,173.85,30.27,995.7,19.22,1.49
2015.7.13,50.71,80.83,5.25,64.79,633.33,191.17,32.35,993.58,15.73,1.8
2015.7.14,40.33,69.21,5.38,46.38,650,194.56,29.86,999.12,16.35,2.13
2015.7.15,38.08,69.17,4.21,71.83,729.17,103.88,27.53,1001.42,16.22,1.59
2015.7.16,41.63,49.71,2.04,45.92,804.17,119.79,23.37,1003.39,19.08,2.08
2015.7.17,37.67,45.63,2.58,50.79,862.5,81.96,22.8,1003.12,19.72,1.32
2015.7.18,51.88,56.46,2,44.83,820.83,120.52,23.13,1002.23,20.36,1.4
2015.7.19,76.79,78.79,2,50.42,950,107.79,23.29,1003.74,21.23,1.62
2015.7.20,94.33,94.63,2,57.96,1020.83,88.71,25.06,1003.28,21.98,1.4
2015.7.21,141.08,142.17,2.25,54.58,1229.17,107.54,25.65,1001.12,22.25,1.63
2015.7.22,65.83,70.08,3.17,57.63,837.5,113.19,25.4,999.98,20.53,1.35
2015.7.23,38.7,45,2.05,69.05,785,69.8,24.36,1000.1,21.27,0.88
2015.7.24,58.71,81.71,4.92,66.42,816.67,86.88,26.49,997.43,20.38,1.37
2015.7.25,91.88,115.75,6.83,55.67,891.67,121.96,28.03,996.49,21.13,1.72
2015.7.26,125.13,140.42,8.13,46.54,1045.83,150.5,29.85,998.73,22.53,1.32
2015.7.27,77.21,104,4.42,52.33,781.25,134.69,28.52,999.98,22.5,1.85
2015.7.28,55.33,59.92,2,42.75,687.5,123.38,26.44,998.86,22.81,1.08
2015.7.29,101.29,107.83,2,59.54,891.67,130.67,28.86,996.97,23.81,1.38
2015.7.30,49.71,53.63,2.08,45.08,875,97.63,24.27,1000.1,21.88,1.83
2015.7.31,29.08,35.96,2,40,508.33,105.04,25.54,1003.34,20.6,1.46
2015.8.01,108.6,115.2,2.5,102.7,1140,38.3,24.62,1002.82,22.36,0.9
2015.8.03,12.14,30.29,2.43,43.86,285.71,55.71,23.53,997.51,15.14,2.03
2015.8.04,19.08,54.96,4.38,46.42,295.83,92.25,26.64,996.97,16.83,1.59
2015.8.05,78.95,118.95,4.86,57.33,790.48,97.29,26.97,998.33,21.49,1.56
2015.8.06,59.92,86.54,2.54,49.21,779.17,110.79,25.53,1002.66,19.81,1.55
2015.8.07,95.29,103.29,3.63,48.25,1295.83,89.29,25.2,1007.87,21.83,1.61
2015.8.08,42.21,58.21,2.25,53.21,929.17,95.92,24.8,1008.68,19.53,1.02
2015.8.09,55.08,83.46,3.42,59.25,1025,113.71,27.81,1006.29,20.88,1.07
2015.8.10,45.46,77.13,3.04,55.5,962.5,101.13,28.94,1005.3,19.95,1.48
2015.8.11,100.67,141.17,7.96,45.04,1645.83,142,29.18,1004.34,21.57,1.48
2015.8.12,82.58,135.75,7.33,42.58,1212.5,145.29,30.07,1001.91,20.92,2.14
2015.8.13,123.79,180.21,10.54,52.71,1558.33,151.38,29.44,999.47,21.44,2.05
2015.8.14,60.67,76.17,7.81,34.54,875,89.67,28.53,998.86,17.04,2.01
2015.8.15,25.83,55.04,6.17,49.63,595.83,85.91,28.54,1000.81,14.65,1.73
2015.8.16,37.33,91.96,9.33,53,775,143.33,28.8,1001.09,17.32,1.89
2015.8.17,78.17,167.71,10.71,46.33,1091.67,138.83,29.18,1001.63,18.88,1.62
2015.8.18,46.17,86.46,4,46.5,804.17,107.63,26.31,1005.98,17.5,1.86
2015.8.19,56.08,69.75,2.08,46.79,820.83,94.08,24.86,1006.87,18.89,1.55
2015.8.20,32.63,47.88,2,29.08,637.5,115.46,26.34,1003.87,16.22,1.64
2015.8.21,13.92,32.88,2.96,28.04,458.33,111,27.88,1001.38,13.19,1.59
2015.8.22,17.67,36.46,4.08,28.13,741.67,75.04,26.75,1001.27,16.11,2.18
2015.8.23,21.96,32.54,4.58,29.04,883.33,76.58,23.28,1005.23,17.68,1.72
2015.8.24,13,21.58,2,27.46,562.5,68.5,24.67,1006.95,16.9,1.66
2015.8.25,14.5,28.29,2,33,591.67,62.13,25.58,1006.07,16.5,1.58
2015.8.26,11.83,21.83,2,33.79,525,66.92,25.9,1005.15,16.7,1.34
2015.8.27,11.54,22.5,2,35.63,545.83,73,26.06,1005.14,16.22,1.33
2015.8.28,15.29,31.88,2.17,32.88,562.5,79.42,26.32,1003.42,15.71,1.66
2015.8.29,29.21,52.29,2.04,30,683.33,128.58,25.69,1004.76,15.72,2.03
2015.8.30,29.67,36.42,2,32.58,1137.5,72.25,21.73,1007.51,17.7,1.54
2015.8.31,28.58,30.92,2,27.63,879.17,68.08,20.89,1008.72,18.6,1.14
2015.9.01,10.38,13.29,2,23.13,591.67,53.25,20.74,1008.78,17.73,1.66
2015.9.02,9.63,16,2,25.13,454.17,54.9,24.79,1008.85,16.65,1.53
2015.9.03,14.17,28.63,2,23.42,491.67,80.71,25.8,1009.73,17.23,1.51
2015.9.04,53.08,58.79,3,33.42,1983.33,70.48,21.31,1008.57,19.2,1.9
2015.9.05,19.75,20.08,2,28.71,733.33,82.29,17.98,1006.82,16.33,2.03
2015.9.06,16.67,28.96,2,38.83,550,75.04,22.49,1008.98,14.53,1.46
2015.9.07,23.79,45.79,2.21,49.63,666.67,76.67,22.99,1009.13,15.06,1.43
2015.9.08,54,97.58,6.08,70.29,954.17,96.94,22.07,1010.8,15.05,1.23
2015.9.09,39.04,60.25,2.21,65.88,808.33,50.58,21.72,1015.16,15.33,1.71
2015.9.10,9.25,13.25,2.25,41.5,458.33,30.48,16.95,1017.5,12.36,1.78
2015.9.11,9.46,15.71,2.54,41.13,416.67,46.33,17.4,1012.1,10.92,1.85
2015.9.12,8.33,17.83,2.98,40.96,387.5,48.98,20.3,1012.75,5.72,3.49
2015.9.13,25.04,63.17,4.25,60.33,650,53.46,22.1,1011.89,9.9,1.71
2015.9.14,68.42,118.33,10.08,84.71,1029.17,73.54,20.59,1014.15,12.78,1.37
2015.9.15,114.58,140.33,14.33,93,1429.17,100.92,19.68,1015.53,13.32,1.13
2015.9.16,131,169.3,11.2,92.4,1422.5,111.37,20.79,1013.83,14.3,1.15
2015.9.17,152.2,176.95,14.55,85.7,1665,112.9,22.17,1012.74,16.31,1.31
2015.9.18,88.71,102.08,3.71,72.13,1150,72.38,23.27,1012.35,16,1.39
2015.9.19,21.96,48.04,3.08,71,637.5,57.5,22.15,1012.82,10.48,1.45
2015.9.20,82.88,116.96,10.38,68,1250,85.56,22.59,1009.02,15.4,1.85
